postnr;postnr_by;aktiv
4952;Stokkemarke;t
4953;Vesterborg;t
4960;Holeby;t
4970;Rødby;t
4983;Dannemare;t
4990;Sakskøbing;t
5000;Odense C;t
5200;Odense V;t
5210;Odense NV;t
5220;Odense SØ;t
5230;Odense M;t
5240;Odense NØ;t
5250;Odense SV;t
5260;Odense S;t
5270;Odense N;t
5290;Marslev;t
5300;Kerteminde;t
5320;Agedrup;t
5330;Munkebo;t
5350;Rynkeby;t
5370;Mesinge;t
5380;Dalby;t
5390;Martofte;t
5400;Bogense;t
5450;Otterup;t
5462;Morud;t
5463;Harndrup;t
5464;Brenderup Fyn;t
5466;Asperup;t
5471;Søndersø;t
5474;Veflinge;t
5485;Skamby;t
5491;Blommenslyst;t
5492;Vissenbjerg;t
5500;Middelfart;t
5540;Ullerslev;t
5550;Langeskov;t
5560;Aarup;t
5580;Nørre Aaby;t
5591;Gelsted;t
5592;Ejby;t
5600;Faaborg;t
5601;Lyø;t
5602;Avernakø;t
5603;Bjørnø;t
5610;Assens;t
5620;Glamsbjerg;t
5631;Ebberup;t
5642;Millinge;t
5672;Broby;t
5683;Haarby;t
5690;Tommerup;t
5700;Svendborg;t
5750;Ringe;t
5762;Vester Skerninge;t
5771;Stenstrup;t
5772;Kværndrup;t
5792;Årslev;t
5800;Nyborg;t
5853;Ørbæk;t
5854;Gislev;t
5856;Ryslinge;t
5863;Ferritslev Fyn;t
5871;Frørup;t
5874;Hesselager;t
5881;Skårup Fyn;t
5882;Vejstrup;t
5883;Oure;t
5884;Gudme;t
5892;Gudbjerg Sydfyn;t
5900;Rudkøbing;t
5932;Humble;t
5935;Bagenkop;t
5943;Strynø;t
5953;Tranekær;t
5960;Marstal;t
5965;Birkholm;t
5970;Ærøskøbing;t
5985;Søby Ærø;t
6000;Kolding;t
6040;Egtved;t
6051;Almind;t
6052;Viuf;t
6064;Jordrup;t
6070;Christiansfeld;t
6091;Bjert;t
6092;Sønder Stenderup;t
6093;Sjølund;t
6094;Hejls;t
6100;Haderslev;t
6200;Aabenraa;t
6210;Barsø;t
6230;Rødekro;t
6240;Løgumkloster;t
6261;Bredebro;t
6270;Tønder;t
